,Skills_count,3ds Max,Accounting,Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,Android,AutoCAD,Blogging,Bootstrap,CSS,Client Relationship,Copywriting,CorelDRAW,Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Flutter,Google AdWords,Google Analytics,HTML,Hindi Proficiency (Spoken),Informal dress code,Instagram Marketing,Java,JavaScript,Kannada Proficiency (Spoken),Linux,MS-Excel,MS-Office,MS-PowerPoint,MS-Word,Node.js,PHP,Photography,Python,ReactJS,SQL,Salesforce,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing,Tally,Video Editing,Video Making,WordPress,iOS,Date,month,year,time,stipend_min,stipend_max,stipend_avg,stipend_type,stipend_unpaid,stipend_perf,stipend_incentives,duration_months,Offer_encoded,StartDate_encoded,Location_encoded,Company_encoded,Perk_Letter of recommendation,Perk_Certificate,Perk_5 days a week,Perk_Free snacks & beverages,Perk_Job offer,Perk_Flexible work hours,Profile_encoded
40,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2020,13:53:36,11000,11000,11000.0,month,0,0,0,6.0,0,0,2,325,1,1,1,1,0,1,70
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2020,13:53:36,20000,20000,20000.0,month,0,0,0,6.0,0,0,2,274,0,1,0,0,0,0,21
42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2020,13:53:38,5000,10000,7500.0,month,0,0,0,3.0,0,0,2,148,1,1,1,1,0,1,61
43,4,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2020,13:53:38,10000,15000,12500.0,month,0,0,0,3.0,1,0,4,259,1,1,1,0,1,1,70
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2020,13:53:39,8000,10000,9000.0,month,0,0,0,6.0,1,0,2,145,1,1,0,0,1,0,27
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2020,13:53:40,5000,5000,5000.0,month,0,0,0,3.0,0,0,2,227,0,1,0,0,0,0,75
46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,2020,13:53:41,2000,2000,2000.0,month,0,0,1,4.0,1,0,4,116,1,1,0,0,1,1,152
47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,11,2020,13:53:42,2000,2000,2000.0,lump_sum,0,0,0,1.0,1,0,0,82,1,1,1,0,1,1,89
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2020,13:53:46,15000,25000,20000.0,month,0,0,0,6.0,1,0,2,359,0,0,0,0,1,0,18
49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,2020,13:53:47,18000,18000,18000.0,month,0,0,0,3.0,0,0,2,62,0,0,1,0,0,1,128
